`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:23<01:35, 23.85s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:43<01:04, 21.35s/it]Loading checkpoint shards:  60%|██████    | 3/5 [01:02<00:40, 20.14s/it]Loading checkpoint shards:  80%|████████  | 4/5 [01:18<00:18, 18.64s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 14.52s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 17.14s/it]
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
The new lm_head weights will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
[train] epoch=0 step=1250 loss=0.1860 a2t_avg=0.1398 i2t_avg=0.1449 emb_norm_mean=1.6406 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1300 loss=0.1077 a2t_avg=0.1400 i2t_avg=0.1438 emb_norm_mean=1.6406 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1350 loss=0.0339 a2t_avg=0.1400 i2t_avg=0.1438 emb_norm_mean=1.6406 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1400 loss=0.1601 a2t_avg=0.1403 i2t_avg=0.1434 emb_norm_mean=1.6406 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1450 loss=0.1177 a2t_avg=0.1401 i2t_avg=0.1438 emb_norm_mean=1.6406 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1500 loss=0.1629 a2t_avg=0.1401 i2t_avg=0.1429 emb_norm_mean=1.6484 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1550 loss=0.0929 a2t_avg=0.1406 i2t_avg=0.1426 emb_norm_mean=1.6484 emb_norm_std=1.0469 head_norm_mean=0.3809 head_norm_std=0.0199
[train] epoch=0 step=1600 loss=0.1158 a2t_avg=0.1403 i2t_avg=0.1423 emb_norm_mean=1.6484 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=1650 loss=0.1567 a2t_avg=0.1398 i2t_avg=0.1419 emb_norm_mean=1.6484 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
[train] epoch=0 step=1700 loss=0.1691 a2t_avg=0.1399 i2t_avg=0.1427 emb_norm_mean=1.6484 emb_norm_std=1.0547 head_norm_mean=0.3809 head_norm_std=0.0200
